Category,Description,Qty,Notes
Fasteners,M3x50 SHCS,2,
,M3x30 SHCS,3,
,M3x25 SHCS,7,
,M3x20 SHCS,2,
,M3x16 SHCS,4,
,M3x12 SHCS,4,
,M3x8 SHCS,2,
,M3x6 BHCS,1,
,M3x6 FHCS,2,
,M3 Hexnut,2,
,Bondtech BMG Extruder Kit,1,
,M3 Brass heatstake inserts - short M3x5x4,22,
Misc,3x6mm Magnet,1, for Hall Effect endstops
Electronics,40x40x10 Axial Fan (24V),1,
,50x50x15 Centrifugal Fan (24V),1,
,NEMA14 36mm pancake Motor with 10 tooth gear,1,
,NeoPixel RGBW Mini Button PCB,3,
Cables,MicroFit3 Female Pin,3,
,MicroFit3 Male Pin,3,
,MicroFit3 Connector Plug 3 Position,1,
,MicroFit3 Connector Receptacle 3 Position,1,
,24AWG PTFE Cable (30ft total),1,
,30AWG PTFE Cable (3ft total),1,
